date	keyword	axis	inflow_pct	status	note
	발음좋아지는방법	발음·방법	4.51	ready	2026-01 1회 노출 후 이탈 — 되찾는다
	성인발음교정	발음·방법	4.45	ready	2026-01 1회 노출 후 이탈 — 되찾는다
	성우되는법	직업군·방법	4.40	ready	2026-02 1회 노출 후 이탈 — 되찾는다
	보이스학원	탐색	4.39	ready	2026-01 1회 노출 후 이탈 — 되찾는다
	목상태관리하는방법	증상·방법	4.30	ready	2026-02 1회 노출 후 이탈 — 되찾는다
	승무원 면접	직업군	4.28	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	스피치강의	탐색	4.25	ready	2026-01 1회 노출 후 이탈 — 되찾는다
	배우되는법	직업군·방법	4.07	defend	2/5개월 — 흔들리지만 잡고 있다
	아나운서 되는 법	직업군·방법	4.02	ready	2026-03 1회 노출 후 이탈 — 되찾는다
	아나운서면접준비	직업군	3.99	ready	2026-01 1회 노출 후 이탈 — 되찾는다
	목소리 갈라짐	증상	3.74	defend	2/5개월 — 흔들리지만 잡고 있다
	발음문제	발음	3.57	ready	2026-01 1회 노출 후 이탈 — 되찾는다
	발표목소리교정	방법	3.57	ready	2026-04 1회 노출 후 이탈 — 되찾는다
	목소리훈련	방법	3.45	ready	2026-04 1회 노출 후 이탈 — 되찾는다
	5분스피치	미분류	3.27	ready	2026-01 1회 노출 후 이탈 — 되찾는다
	스피치학원	탐색	3.19	ready	2026-05 1회 노출 후 이탈 — 되찾는다
	발표불안	증상	2.95	ready	2026-01 1회 노출 후 이탈 — 되찾는다
	연기학원	직업군·탐색	2.88	ready	2026-05 1회 노출 후 이탈 — 되찾는다
	교사 목소리 쉼	직업군		hold	검색량 근거 없음 — 키워드도구 조회 대기
	상담사 목소리 피로	직업군		hold	검색량 근거 없음 — 키워드도구 조회 대기
	쇼핑호스트 발성	직업군		hold	검색량 근거 없음 — 키워드도구 조회 대기
	목이 자주 쉼	증상		hold	검색량 근거 없음 — 키워드도구 조회 대기
	발음 새는 증상	증상		hold	검색량 근거 없음 — 키워드도구 조회 대기
	말이 빨라지는 습관	증상		hold	검색량 근거 없음 — 키워드도구 조회 대기
	말할 때 숨 부족	증상		hold	검색량 근거 없음 — 키워드도구 조회 대기
	긴장할 때 목소리	증상		hold	검색량 근거 없음 — 키워드도구 조회 대기
	집에서 하는 발성연습	방법		hold	검색량 근거 없음 — 키워드도구 조회 대기
	발성과 자세의 관계	방법		hold	검색량 근거 없음 — 키워드도구 조회 대기
	성대 부담 줄이는 법	방법		hold	검색량 근거 없음 — 키워드도구 조회 대기
	보이스트레이닝 기간	방법		hold	검색량 근거 없음 — 키워드도구 조회 대기
	보이스트레이닝 효과	방법		hold	검색량 근거 없음 — 키워드도구 조회 대기
	발성 좋아지는 신호	방법		hold	검색량 근거 없음 — 키워드도구 조회 대기
	1:1 보이스트레이닝이 필요한 경우	방법		hold	검색량 근거 없음 — 키워드도구 조회 대기
